1;ACCIONES DE CAPACITACIÓN PARA EL EQUIPO DE LA UGSP
2;ACCIONES DE CAPACITACIÓN QUE CONSIDEREN LAS ESTRATEGIAS ORGANIZACIONALES
3;ACCIONES DE CAPACITACIÓN PARA EL ACOMPAÑAMIENTO DE LA IMPLEMENTACIÓN DEL PROGRAMA
4;TALLERES SUMARTE
5;ACCIONES DE CAPACITACIÓN A DISTANCIA
6;GESTIÓN DE MATERIALES DE CAPACITACIÓN
7;ACCIONES DE CAPACITACIÓN PARA CONTRIBUIR AL CUMPLIMIENTO DEL INDICADOR CONJUNTO  CON EL ÁREA DE COMUNICACIÓN DEL COMPROMISO ANUAL
8;ACCIONES DE CAPACITACIÓN ESPECÍFICAS PARA LOS RESPONSABLES DE CAPACITACIÓN Y PUEBLOS INDÍGENAS DE LA UGSP
9;ACCIONES DE CAPACITACIÓN PARA FORTALECER LAS SALVAGUARDAS DEL PROGRAMA
10;ACCIONES DE CAPACITACIÓN QUE CONSIDEREN LAS ESTRATEGIAS ORGANIZACIONALES  ESPECÍFICAS DE CADA UGSP
